Setting,Weight,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Num_Seeds
p0.2_early_patch3,None,0.8782187499999999,0.5770703041565212,0.36314969829837723,0.4413376087185781,79638,3482,8209,4671,3
p0.2_early_patch3,2.577,0.8578541666666667,0.4806996880988423,0.7184858148242981,0.5755429463309767,73100,10020,3626,9254,3
p0.2_early_patch5,None,0.89103125,0.6332665054663115,0.44739322965330824,0.5235877673567201,79773,3347,7114,5766,3
p0.2_early_patch5,2.577,0.863125,0.49361934525811346,0.7676572588211349,0.6007216024818726,72972,10148,2992,9888,3
p0.2_late_patch3,None,0.9461875000000001,0.6520662330737091,0.5427875278675801,0.5922467837030844,87084,2004,3162,3750,3
p0.2_late_patch3,3.526,0.93090625,0.5138847962053464,0.8029445987230789,0.6262934156012778,83817,5271,1362,5550,3
p0.2_late_patch5,None,0.9529583333333332,0.720693295347246,0.566892936270209,0.6338832417906776,87567,1521,2995,3917,3
p0.2_late_patch5,3.526,0.9314062499999999,0.5152396236363131,0.8707474480590526,0.6469905229744412,83394,5694,891,6021,3
p0.2_mid_patch3,None,0.9135729166666667,0.5904866034417338,0.43559395615665664,0.5012249018410746,83533,2893,5404,4170,3
p0.2_mid_patch3,3.007,0.8876875000000001,0.463608572520763,0.8053818336420001,0.5884617191788254,77506,8920,1862,7712,3
p0.2_mid_patch5,None,0.92546875,0.671956796826362,0.4990959444856237,0.5712179789304992,84064,2362,4793,4781,3
p0.2_mid_patch5,3.007,0.9040833333333333,0.512606323611492,0.7893701516907717,0.6214216891584191,79232,7194,2014,7560,3
p0.4_early_patch3,None,0.8489895833333333,0.5627048635371872,0.3288594379084134,0.4135059864355082,76365,4008,10489,5138,3
p0.4_early_patch3,2.317,0.8304895833333333,0.4856348280069904,0.6747293439149522,0.5642904660474551,69188,11185,5088,10539,3
p0.4_early_patch5,None,0.8620416666666667,0.6229900282483819,0.3864867500419524,0.47679584204776243,76714,3659,9585,6042,3
p0.4_early_patch5,2.317,0.8283541666666667,0.4827209688872582,0.7478881693782337,0.5864310268958007,67839,12534,3944,11683,3
p0.4_late_patch3,None,0.9389375000000001,0.6495427310922292,0.49883360818465317,0.5616050219089369,86362,2055,3807,3776,3
p0.4_late_patch3,3.469,0.9206145833333333,0.4987218592132989,0.8164679443545477,0.6190144020420655,82189,6228,1393,6190,3
p0.4_late_patch5,None,0.945625,0.6709263049259281,0.6131723187392973,0.6404372797524518,86129,2288,2932,4651,3
p0.4_late_patch5,3.469,0.9285312499999999,0.5299491496852285,0.841686947205348,0.6503556495601553,82756,5661,1200,6383,3
p0.4_mid_patch3,None,0.9087291666666667,0.5977612397659223,0.4085849663400978,0.48136630060302227,83104,2787,5975,4134,3
p0.4_mid_patch3,2.935,0.8813437500000001,0.46326796427321654,0.7825630013424028,0.5815381737829101,76697,9194,2197,7912,3
p0.4_mid_patch5,None,0.9190104166666666,0.6662861319631642,0.4670354474008383,0.5472214444096087,83503,2388,5387,4722,3
p0.4_mid_patch5,2.935,0.8938125,0.4974645640999169,0.8018477684739013,0.6139643858625509,77700,8191,2003,8106,3
p0.6_early_patch3,None,0.9052291666666666,0.5893918538591771,0.390973986764273,0.46883492712741776,82869,2829,6269,4033,3
p0.6_early_patch3,2.877,0.8846875000000001,0.4773622976315681,0.7515582313364794,0.5835376102458899,77187,8511,2559,7743,3
p0.6_early_patch5,None,0.9167291666666667,0.643403893234915,0.5039547182012108,0.5650468194372239,82813,2885,5109,5193,3
p0.6_early_patch5,2.877,0.8906354166666667,0.4940846297120835,0.7958653056199211,0.6096727511607231,77303,8395,2104,8198,3
p0.6_late_patch3,None,0.9426145833333334,0.651647108813819,0.5302625954282824,0.5846796757166266,86615,2072,3437,3876,3
p0.6_late_patch3,3.591,0.9219479166666668,0.49361169148918443,0.8295161918903747,0.6186365993449159,82440,6247,1246,6067,3
p0.6_late_patch5,None,0.94896875,0.7078549718892818,0.5620767269308585,0.6265810534680619,86991,1696,3203,4110,3
p0.6_late_patch5,3.591,0.9335833333333333,0.5421513125580569,0.8315211858809212,0.6562041146056834,83544,5143,1233,6080,3
p0.6_mid_patch3,None,0.9232604166666666,0.5942127985949456,0.46542106077287865,0.521036901291761,84602,2756,4611,4031,3
p0.6_mid_patch3,3.187,0.9077500000000001,0.49325607308843294,0.7615740986976065,0.5980659475790863,80556,6802,2054,6588,3
p0.6_mid_patch5,None,0.9327604166666666,0.6603692290949345,0.5266788651629529,0.5848405191008285,84999,2359,4096,4546,3
p0.6_mid_patch5,3.187,0.9124374999999999,0.5091936450606714,0.8069973808849751,0.6240802312997908,80618,6740,1666,6976,3
