patch_size,regime,density,seed,TN,FP,FN,TP
3,early,0.2,0,26359,1289,2599,1753
5,early,0.2,0,26552,1096,2472,1880
3,early,0.2,1,26745,1004,2944,1307
5,early,0.2,1,26624,1125,2442,1809
3,early,0.2,2,26543,1180,2679,1598
5,early,0.2,2,26669,1054,2426,1851
3,early,0.4,0,25818,1043,3675,1464
5,early,0.4,0,25466,1395,3025,2114
3,early,0.4,1,25722,978,3904,1396
5,early,0.4,1,25514,1186,3290,2010
3,early,0.4,2,25338,1474,3328,1860
5,early,0.4,2,25603,1209,3229,1959
3,early,0.6,0,27638,952,2085,1325
5,early,0.6,0,28031,559,2097,1313
3,early,0.6,1,27572,909,2215,1304
5,early,0.6,1,27616,865,1955,1564
3,early,0.6,2,27676,951,1987,1386
5,early,0.6,2,27808,819,1779,1594
3,mid,0.2,0,27971,821,1909,1299
5,mid,0.2,0,27982,810,1663,1545
3,mid,0.2,1,27792,954,1824,1430
5,mid,0.2,1,28080,666,1828,1426
3,mid,0.2,2,27953,935,1781,1331
5,mid,0.2,2,28156,732,1635,1477
3,mid,0.4,0,27704,917,1940,1439
5,mid,0.4,0,27957,664,1970,1409
3,mid,0.4,1,27685,931,1990,1394
5,mid,0.4,1,27879,737,1844,1540
3,mid,0.4,2,27676,978,2034,1312
5,mid,0.4,2,27958,696,1979,1367
3,mid,0.6,0,28539,677,1734,1050
5,mid,0.6,0,28474,742,1364,1420
3,mid,0.6,1,28257,854,1531,1358
5,mid,0.6,1,28511,600,1506,1383
3,mid,0.6,2,28062,969,1599,1370
5,mid,0.6,2,28483,548,1681,1288
3,late,0.2,0,28955,675,1119,1251
5,late,0.2,0,29212,418,1135,1235
3,late,0.2,1,29076,637,993,1294
5,late,0.2,1,29273,440,1041,1246
3,late,0.2,2,28902,843,922,1333
5,late,0.2,2,29287,458,1170,1085
3,late,0.4,0,28610,804,1201,1385
5,late,0.4,0,28763,651,1119,1467
3,late,0.4,1,28653,856,1029,1462
5,late,0.4,1,28866,643,1070,1421
3,late,0.4,2,28704,790,1168,1338
5,late,0.4,2,28945,549,1181,1325
3,late,0.6,0,28757,816,1023,1404
5,late,0.6,0,28988,585,1050,1377
3,late,0.6,1,28983,624,1159,1234
5,late,0.6,1,29165,442,1105,1288
3,late,0.6,2,28833,674,1234,1259
5,late,0.6,2,29118,389,1337,1156
