patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
3,early,0.2,0,0.6,50,10,128,0.1708984375,0.1663818359375,0.1004638671875,0.820556640625,0.820556640625,0.7640380859375,0.5672652340300265,0.12295825771324864,0.75837158203125,0.18989941412623934,0.48247371056584876,0.6882142857142857,0.09941305942773294,0.1611177170035672,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.1708984375
3,early,0.4,0,0.7,50,10,128,0.2242431640625,0.22222900390625,0.11358642578125,0.75140380859375,0.75140380859375,0.72100830078125,0.4984607806920329,0.1690601708780222,0.706435546875,0.2110368096548475,0.45513829548009893,0.5508982035928144,0.12771216698709145,0.25,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.2242431640625
3,early,0.6,0,0.6,50,10,128,0.11871337890625,0.11639404296875,0.0975341796875,0.88641357421875,0.88641357421875,0.81121826171875,0.5930461403892412,0.11855229410088344,0.81563720703125,0.18983726476544516,0.5159817351598174,0.6971722365038561,0.10907184058730991,0.12983770287141075,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.11871337890625
3,mid,0.2,0,0.6,50,60,128,0.1004638671875,0.09991455078125,0.0838623046875,0.90655517578125,0.90655517578125,0.8402099609375,0.598268171083705,0.14163934426229505,0.848009033203125,0.21976199757175469,0.5265588914549654,0.692588092345079,0.13194868662186926,0.15286624203821655,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.1004638671875
3,mid,0.4,0,0.6,50,60,128,0.11358642578125,0.1121826171875,0.07867431640625,0.89324951171875,0.89324951171875,0.8304443359375,0.5939168794984908,0.13187500000000002,0.8266064453125,0.20855892469004295,0.5228945216680294,0.6872649113379903,0.1147986942328618,0.15491923641703378,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.11358642578125
3,mid,0.6,0,0.6,50,60,128,0.0975341796875,0.09539794921875,0.07025146484375,0.90997314453125,0.90997314453125,0.84893798828125,0.6001626457034426,0.10228509249183895,0.850064697265625,0.1683758010669315,0.5294117647058824,0.6927409261576971,0.09021113243761997,0.11809045226130653,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.0975341796875
3,late,0.2,0,0.7,50,160,128,0.07720947265625,0.07781982421875,0.078369140625,0.93511962890625,0.93511962890625,0.875244140625,0.5916250480215137,0.1824,0.886484375,0.252104484181652,0.5754857997010463,0.6086956521739131,0.17882352941176471,0.18612244897959185,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.07720947265625
3,late,0.4,0,0.6,50,160,128,0.07098388671875,0.074462890625,0.06744384765625,0.93707275390625,0.93707275390625,0.88238525390625,0.6081337894336755,0.17189514396218306,0.891156005859375,0.24948414929539736,0.5449591280653951,0.6878761822871883,0.16393442622950818,0.18066847335140018,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.07098388671875
3,late,0.6,0,0.6,50,160,128,0.0618896484375,0.0677490234375,0.05914306640625,0.944580078125,0.944580078125,0.8907470703125,0.6055603822762815,0.15406427221172025,0.903460693359375,0.23018870346129575,0.5411490683229814,0.6873767258382643,0.14684684684684685,0.16202783300198806,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,True,0.5,0.2,0.85,0.0618896484375
5,early,0.2,0,0.6,50,10,128,0.1708984375,0.16937255859375,0.1004638671875,0.83197021484375,0.83197021484375,0.76300048828125,0.5739049682711654,0.12878617904420012,0.752171630859375,0.17563519243865977,0.5064190111991259,0.6621428571428571,0.10342342342342342,0.17063020214030916,,,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,True,0.5,0.2,0.85,0.1708984375
